10001	0	0	70	70	

10011	0	0	70	70	
10012	70	0	140	70	
10013	140	0	210	70	
10014	210	0	280	70	

10021	0	70	70	140

10031	0	70	70	140

10041	70	70	140	140
10042	140	70	210	140
10043	210	70	280	140

10051	280	0	350	70
10052	350	0	420	70
10053	420	0	490	70

10061	280	70	350	140
10062	350	70	420	140
10063	420	70	490	140
10064	490	70	560	140

10071	0	210	70	280
10072	70	210	140	280

10081	0	140	70	210
10082	70	140	140	210

10091	140	210	210	280
10092	210	210	280	280
10093	280	210	350	280

10101	140	140	210	210
10102	210	140	280	210
10103	280	140	350	210

10201	420	210	490	280
