1	2	3	4	5	6	7	8	2	2	5	9	3	4	2	2	7	8	2	2	3	4	7	8	2	2	2	2	3	4	1	1	1
1	2	10	11	12	13	14	8	2	2	12	13	15	11	2	2	14	8	2	2	10	11	14	8	2	2	2	2	10	11	1	1	1
16	17	5	9	2	2	14	8	18	17	19	4	2	2	2	2	14	8	19	4	2	2	14	8	18	17	19	4	2	2	1	1	1
20	21	12	13	22	2	14	8	23	24	10	11	2	2	2	2	14	8	10	11	2	2	14	8	23	24	10	11	2	2	1	1	1
25	26	2	2	19	4	27	28	23	24	2	2	29	30	29	30	27	28	5	9	2	2	27	28	23	24	29	30	2	2	1	1	1
1	1	2	2	10	11	1	1	1	1	2	2	1	1	1	1	1	1	12	13	22	2	1	1	1	1	1	1	2	2	1	1	1
1	2	2	2	23	24	7	8	1	1	2	2	2	2	1	1	1	2	29	30	18	17	1	1	5	6	18	17	2	2	1	1	1
1	2	2	2	1	1	14	8	1	1	2	2	2	2	1	1	1	2	1	1	23	24	1	1	12	13	23	24	31	1	1	1	1
1	2	19	4	5	6	14	8	1	1	2	2	19	4	1	1	1	2	2	2	23	24	1	1	2	2	32	33	34	8	1	1	1
1	2	10	11	12	13	14	8	1	1	2	2	10	11	1	1	1	2	2	2	1	1	1	1	2	2	33	2	14	8	1	1	1
1	2	18	17	2	2	14	8	1	1	2	2	2	2	1	1	1	2	2	2	2	2	2	2	32	33	2	2	14	8	1	1	1
1	2	23	24	2	2	27	35	1	1	2	2	2	2	1	1	36	2	2	2	2	2	2	2	33	2	2	2	27	35	1	1	1
