1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	3	4	5	6	
1	1	7	8	7	8	7	8	7	8	7	8	1	1	1	1	1	1	7	8	7	8	7	8	7	8	7	8	1	1	1	1	1	1	1	1	1	1	1	1	9	10	11	12	11	12	13	6	
14	15	16	17	16	17	16	17	16	17	16	17	1	1	1	1	14	15	16	17	16	17	16	17	16	17	16	17	1	1	1	1	1	1	1	1	1	1	1	1	6	6	10	18	10	18	19	6	
20	21	22	21	20	21	20	21	20	21	20	21	7	8	7	8	20	21	22	21	20	21	20	21	20	21	20	21	7	8	7	8	7	8	7	8	23	8	23	8	6	24	25	18	25	18	26	6	
16	17	27	28	16	17	16	17	16	17	16	17	16	17	16	17	16	17	27	28	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	27	28	27	28	6	10	29	30	10	18	5	6	
22	21	31	32	22	21	22	21	22	21	22	21	22	21	22	21	22	21	31	32	22	21	22	21	22	21	22	21	22	21	22	21	22	21	22	21	31	32	31	32	6	2	33	6	25	18	13	6	
27	28	6	6	27	28	27	28	27	28	27	28	27	28	27	28	27	28	6	6	27	28	27	28	27	28	27	28	27	28	27	28	27	28	27	28	6	6	6	6	6	10	5	6	10	18	19	6	
31	32	34	35	31	32	31	32	31	32	31	32	31	32	31	32	31	32	34	35	31	32	31	32	31	32	31	32	31	32	31	32	31	32	31	32	34	35	6	6	6	2	13	6	25	18	26	6	
36	37	38	39	6	6	36	37	36	37	6	6	36	37	6	6	36	37	38	39	6	6	36	37	36	37	6	6	36	37	6	6	6	6	6	6	38	39	6	6	6	2	40	6	2	41	19	6	
42	43	44	45	46	46	42	43	42	47	48	46	42	47	48	46	42	43	44	45	46	46	42	43	42	47	48	46	42	47	48	46	46	46	49	50	44	45	51	52	53	54	55	6	55	56	57	6	
58	59	60	61	62	62	63	59	63	59	62	62	63	59	62	62	63	59	60	61	62	62	63	59	63	59	62	62	63	59	62	62	62	62	64	65	60	61	66	64	67	68	69	62	69	70	70	71	
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	
